NAICS,NAICS_TITLE,A_MEAN
11,"Agriculture, Forestry, Fishing and Hunting",47880.873
21,"Mining, Quarrying, and Oil and Gas Extraction",69910.58
22,Utilities,84207.831
23,Construction,64648.972
31-33,Manufacturing,69174.562
42,Wholesale Trade,68623.359
44-45,Retail Trade,56013.266
48-49,Transportation and Warehousing,65503.789
51,Information,73855.595
52,Finance and Insurance,80163.492
53,Real Estate and Rental and Leasing,60268.137
54,"Professional, Scientific, and Technical Services",77645.346
55,Management of Companies and Enterprises,82055.219
56,Administrative and Support and Waste Management and Remediation Services,64366.438
61,Educational Services,67390.465
62,Health Care and Social Assistance,76373.049
71,"Arts, Entertainment, and Recreation",51732.192
72,Accommodation and Food Services,44945.819
81,Other Services (except Public Administration),57824.628
99,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738
