NAICS,A_MEAN
11,47880.87254901961
113000,46848.81458966566
113300,46848.81458966566
115000,46873.54473386183
115100,47572.17008797654
115200,41925.5873015873
21,69910.58015267176
211000,91516.22222222222
211100,91516.22222222222
212000,61396.00993377483
212100,69798.31223628692
212200,76831.0101010101
212300,55929.670828603856
213000,66859.72436604189
213100,66859.72436604189
22,84207.83053622596
221000,84207.83053622596
221100,88087.09191361125
221111,76066.0294117647
221112,90088.92988929889
221113,99307.39583333333
221114,99378.37837837837
221115,90118.69565217392
221116,77638.125
221117,71067.33333333333
221118,82688.0
221200,80344.32739059968
221300,58112.72727272727
23,64648.97171082173
236000,65976.28058103975
236100,59983.13148788927
236200,69948.42891566265
237000,66804.9036490365
237100,65961.15650172612
237130,67330.34782608696
237200,72794.15233415233
237300,67722.39852398523
237900,67396.45038167939
238000,60634.65461413923
238100,58210.35792951542
238110,61383.14070351759
238140,58077.388059701494
238160,59985.267745952675
238200,64016.22566690699
238210,65046.95701357466
238220,62727.372372372374
238290,65087.51737835154
238300,55688.5681426107
238310,61022.330917874395
238320,56925.5595026643
238900,59539.27172582619
31-33,69174.5622193714
311000,56647.90586630286
311100,51849.12457912458
311200,58903.096153846156
311300,50043.93596986817
311400,54036.71728971963
311500,56682.760663507106
311600,49442.05283018868
311700,48386.90909090909
311800,46261.303335919314
311900,57465.07416081186
312000,53055.604699378026
312100,52345.93137254902
312200,64439.166666666664
313000,53554.40227703985
313100,43188.51063829787
313200,53054.29467084639
313300,53996.199095022625
314000,47614.676258992804
314100,44070.348837209305
314900,47183.08957952468
315000,49605.060658578856
315100,39990.0
315200,49475.89473684211
315900,41109.333333333336
316000,43247.179487179485
316100,37063.75
316200,42608.37209302326
316900,40244.11214953271
321000,50821.493902439026
321100,47707.897648686034
321200,50203.61525704809
321900,49710.31932773109
322000,64030.018939393936
322100,67398.72727272728
322200,61080.68666140489
323000,55313.79641485275
323100,55313.79641485275
324000,78697.17678100264
324100,78697.17678100264
325000,76673.56120257695
3250A1,75041.83408577878
3250A2,65840.1044386423
325400,80091.9259723965
326000,61858.33641404806
326100,61336.061355764476
326200,56656.76691729324
327000,57555.700431034486
331000,61124.253149370124
331100,60898.795454545456
331200,58555.094736842104
331300,57648.04664723032
331400,63042.04705882353
331500,56030.252808988764
332000,62441.238596491225
3320A1,63388.46475195822
3320A2,59379.57524908233
332700,58630.468975468975
332710,57718.6484312148
332720,58292.75362318841
332800,52589.29234338747
333000,69625.98876009835
3330A1,69167.18991459942
333300,71201.3200498132
333500,60706.59680638723
333600,69950.25179856115
334000,82024.25422483469
334100,91503.00556586271
334200,86815.95833333333
334300,77582.17948717948
334400,77132.3488045007
334500,83178.2415820417
334600,72745.11627906977
335000,69870.88913899832
335100,66827.42930591259
335200,56986.23188405797
335300,68521.08307045215
335900,69821.59707724425
336000,72514.70082407739
336100,76504.95726495727
336200,54044.17227456258
336300,61545.686274509804
336400,81951.82882223847
336500,64318.416666666664
336600,60096.12389380531
336900,60653.46613545817
337000,53184.438095238096
3370A1,53569.97322623829
337900,47245.24163568773
339000,65201.67591125198
339100,69044.35531788474
339900,57471.73832923833
339910,50554.38053097345
42,68623.35865653738
423000,68831.93603515625
4230A1,66781.42078364566
423100,57467.05209656925
423400,76352.55355612682
423800,64808.637744034706
423820,55157.264851485146
424000,65620.76093294461
4240A1,60232.986715529085
4240A2,75788.58007705008
4240A3,59778.59553349876
424300,63608.57868020305
424500,48689.85172981878
425000,72884.89339573582
425100,72884.89339573582
44-45,56013.26597744361
441000,53970.02533783784
441100,57368.2077294686
441200,48554.32
441300,43930.13888888889
442000,46354.227381905526
442100,46379.96640537514
442200,45579.27023945268
443000,49708.174460431655
443100,49708.174460431655
444000,47505.154816513765
444100,48197.87680209699
444200,41033.982002249715
445000,42649.2671009772
4450A1,42501.0453539823
445300,37133.717647058824
446000,50186.59477124183
446100,50186.59477124183
446110,50946.08974358974
447000,36148.58250276855
447100,36148.58250276855
448000,46560.41340782123
448100,43570.51829268293
448200,40185.6875
448300,49073.88157894737
451000,40518.76279069768
451100,41260.02026342452
451110,42473.96373056995
451200,35200.05617977528
452000,43651.359149582386
453000,43541.23765635287
4530A1,42205.930735930735
453100,32228.497409326425
453900,43010.2199816682
454000,61924.35759648266
454100,66048.36801040312
454200,43466.032608695656
454300,51500.58885383807
48-49,65503.78878999278
481000,76965.78703703704
481100,73298.56127886323
481200,80228.48780487805
482000,70859.80657640232
482100,70859.80657640232
483000,70608.05111821086
483100,69815.48076923077
483200,66547.69911504425
484000,58170.7966706302
485000,49470.841346153844
485100,51497.380952380954
485200,43118.958333333336
485300,41327.99295774648
485400,47512.194357366774
485500,44728.97297297297
485900,44776.641975308645
486000,81291.85819070904
486100,82282.23529411765
486200,78235.69288389513
486900,81251.12676056338
487000,44608.4229390681
487100,40031.44144144144
487200,46174.45255474452
487900,67248.46153846153
488000,61209.20443587271
488100,59201.351851851854
488200,54356.701030927834
488300,65690.8275862069
488400,47895.84440227704
488500,65995.21243523316
488900,47332.205882352944
491000,67521.783625731
491100,67521.783625731
492000,61481.984359726295
492100,62359.5593220339
492200,50112.51968503937
493000,58314.49861495845
493100,58314.49861495845
51,73855.59490084986
511000,78446.58783783784
511100,65706.31264916468
511110,54661.450459652704
511200,97624.32508833922
512000,62909.68979591837
512100,62940.31979256698
512130,35810.13274336283
512200,75306.59898477157
515000,72538.4474522293
515100,70740.49194991056
515110,60316.572769953054
515120,75693.20467836257
515200,95221.12449799197
517000,82588.11330298432
518000,90244.83983286908
518200,90244.83983286908
519000,84913.56543624161
519100,84913.56543624161
52,80163.49248030556
521000,108642.5
521100,108642.5
522000,77356.78319327731
5220A1,77315.8215085885
522200,78621.8573996405
522290,78277.93154761905
523000,98061.6317016317
524000,82985.9509773503
524100,85061.23352855051
524114,86613.65914786968
524120,84158.28264758497
524200,82608.08823529411
524210,81061.91609267377
524290,83179.50699533644
525000,96232.31818181818
525100,81925.73170731707
525900,101317.01388888889
53,60268.13725490196
531000,61355.02435064935
532000,54839.52738990333
5320A1,54412.53429131287
532100,51618.40177580466
533000,84642.83216783217
533100,84642.83216783217
54,77645.34598897734
541000,77645.34598897734
541100,75332.27214377407
541200,80363.62862010222
541300,79757.34453781512
541330,84717.57687165776
541380,69412.8313253012
541400,68941.81430096051
541500,88728.84977344022
541600,81577.16676283901
541700,94442.30940870212
541710,95851.38344662134
541720,87792.46435845214
541800,74407.21132897603
541900,69109.68400583374
541920,49211.23595505618
541940,49623.58865248227
55,82055.21924482338
551000,82055.21924482338
551100,82055.21924482338
56,64366.43768571928
561000,63999.452481230546
561100,75345.78894472362
561200,54951.379310344826
561300,61186.028156012
561320,59024.50329380764
561400,61002.440408626564
561500,65479.1185729276
561600,56758.54918032787
561610,52076.16438356164
561620,60553.90951276102
561700,50265.06060606061
561710,49683.35403726708
561730,51261.15107913669
561900,56248.55728429986
562000,58414.33353257621
562100,53763.234932349325
562200,60119.45070422535
562900,57824.73303167421
61,67390.46489563567
611000,67390.46489563567
611100,58127.59283303038
611200,61294.15469146238
611300,70487.03990701279
611400,73415.46348314607
611500,58910.62850729517
611600,47756.6081871345
611700,67816.38047138047
62,76373.04857873365
621000,80452.61284046693
621100,83242.59088286209
621200,70080.91586794463
621300,63538.90767230169
621310,47428.10671256454
621320,50106.58692185008
621330,61819.32065217391
621340,57653.222821896685
621390,65244.022598870055
621400,71469.73457943925
621420,58709.23484848485
621500,71253.48966613672
621600,61572.84627919609
621900,59644.28996282528
621910,53569.53206239168
621990,64159.05378486056
622000,75509.79534359745
622100,75235.81684128832
622200,57622.9702970297
622300,64605.962199312715
623000,52016.975269499046
623100,50890.20795660036
623200,49286.001199040766
623210,45336.62686567164
623220,49740.60653188181
623300,46716.51950718686
623900,45032.15320910973
624000,50423.633353401565
624100,50585.32969034609
624120,46632.283776144715
624200,46902.9802259887
624300,44152.95628036086
624400,38288.637602179835
71,51732.19186219186
711000,55976.35093167702
711100,53644.125159642404
711110,48772.80230326296
711200,55885.27649769585
711300,50482.333333333336
711400,72509.85815602836
711500,60526.13300492611
712000,49582.45161290323
712100,49582.45161290323
713000,44338.293365307756
713100,40362.76008492569
713200,41712.19457013575
713900,42919.77502295684
713940,40172.14571657326
72,44945.819444444445
721000,46211.85229067931
721100,46122.37121831562
721120,44243.0352303523
721200,37595.77669902913
721300,33966.666666666664
722000,39685.61488673139
722300,40760.51571313457
722400,34918.40112201963
722500,38025.69871794872
722511,37622.69054878049
81,57824.62754889721
811000,51775.49164399534
811100,46635.07701786815
811110,46218.62464183381
811120,48339.28988326848
811190,40373.64779874214
811200,59851.420323325634
811300,57285.800604229604
811400,42360.632530120485
812000,44828.90297415895
812100,39954.3456162643
812200,46924.240837696336
812300,42740.93585699264
812900,43681.38860103627
813000,60086.60914581536
813100,48854.51680672269
813200,74489.13949275362
813300,58048.70347394541
813400,43834.12720848057
813900,69711.4449064449
813930,72746.50646950092
99,69671.73752563226
999000,69671.73752563226
999100,83319.61804222649
999200,64435.600405679514
999300,61392.17063770147
