,University Name
2,Harvard University
11,Northwestern University
13,Brown University
18,University of Notre Dame
23,University of Michigan-Ann Arbor
31,University of North Carolina-Chapel Hill
33,University of California-San Diego
39,University of California-Davis
43,Case Western Reserve University
49,Northeastern University
53,Villanova University
61,University of Washington
63,Pennsylvania State University-University Park
67,Fordham University
72,University of Minnesota
81,North Carolina State University
90,University of California-Riverside
84,Elon Uuniversity
93,University of Buffalo
100,University of Oregon
